sr,D,P,mode,ppn,time,"(P, ppn)"
166,2048.0,16.0,0.0,8.0,7.182035,"(16.0, 8.0)"
167,2048.0,16.0,1.0,8.0,5.012217,"(16.0, 8.0)"
168,16.0,4.0,0.0,1.0,0.004047,"(4.0, 1.0)"
169,16.0,4.0,1.0,1.0,0.000777,"(4.0, 1.0)"
170,256.0,4.0,0.0,1.0,0.008065,"(4.0, 1.0)"
171,256.0,4.0,1.0,1.0,0.00956,"(4.0, 1.0)"
172,2048.0,4.0,0.0,1.0,0.055514,"(4.0, 1.0)"
173,2048.0,4.0,1.0,1.0,0.074561,"(4.0, 1.0)"
174,16.0,4.0,0.0,8.0,0.099033,"(4.0, 8.0)"
175,16.0,4.0,1.0,8.0,0.092703,"(4.0, 8.0)"
176,256.0,4.0,0.0,8.0,0.304214,"(4.0, 8.0)"
177,256.0,4.0,1.0,8.0,0.30505,"(4.0, 8.0)"
178,2048.0,4.0,0.0,8.0,1.547477,"(4.0, 8.0)"
179,2048.0,4.0,1.0,8.0,1.493398,"(4.0, 8.0)"
180,16.0,16.0,0.0,1.0,0.008868,"(16.0, 1.0)"
181,16.0,16.0,1.0,1.0,0.010813,"(16.0, 1.0)"
182,256.0,16.0,0.0,1.0,0.063723,"(16.0, 1.0)"
183,256.0,16.0,1.0,1.0,0.056018,"(16.0, 1.0)"
184,2048.0,16.0,0.0,1.0,0.379594,"(16.0, 1.0)"
185,2048.0,16.0,1.0,1.0,0.31643,"(16.0, 1.0)"
186,16.0,16.0,0.0,8.0,0.120327,"(16.0, 8.0)"
187,16.0,16.0,1.0,8.0,0.164674,"(16.0, 8.0)"
188,256.0,16.0,0.0,8.0,0.686979,"(16.0, 8.0)"
189,256.0,16.0,1.0,8.0,0.664891,"(16.0, 8.0)"
190,2048.0,16.0,0.0,8.0,4.070781,"(16.0, 8.0)"
191,2048.0,16.0,1.0,8.0,3.657466,"(16.0, 8.0)"
192,16.0,4.0,0.0,1.0,0.004673,"(4.0, 1.0)"
193,16.0,4.0,1.0,1.0,0.001056,"(4.0, 1.0)"
194,256.0,4.0,0.0,1.0,0.024285,"(4.0, 1.0)"
195,256.0,4.0,1.0,1.0,0.018438,"(4.0, 1.0)"
196,2048.0,4.0,0.0,1.0,0.065829,"(4.0, 1.0)"
197,2048.0,4.0,1.0,1.0,0.093653,"(4.0, 1.0)"
198,16.0,4.0,0.0,8.0,0.166251,"(4.0, 8.0)"
199,16.0,4.0,1.0,8.0,0.169528,"(4.0, 8.0)"
200,256.0,4.0,0.0,8.0,0.529254,"(4.0, 8.0)"
201,256.0,4.0,1.0,8.0,0.48949,"(4.0, 8.0)"
202,2048.0,4.0,0.0,8.0,1.951524,"(4.0, 8.0)"
203,2048.0,4.0,1.0,8.0,2.54525,"(4.0, 8.0)"
204,16.0,16.0,0.0,1.0,0.009005,"(16.0, 1.0)"
205,16.0,16.0,1.0,1.0,0.014539,"(16.0, 1.0)"
206,256.0,16.0,0.0,1.0,0.090745,"(16.0, 1.0)"
207,256.0,16.0,1.0,1.0,0.038244,"(16.0, 1.0)"
208,2048.0,16.0,0.0,1.0,0.441935,"(16.0, 1.0)"
209,2048.0,16.0,1.0,1.0,0.3248,"(16.0, 1.0)"
210,16.0,16.0,0.0,8.0,0.397852,"(16.0, 8.0)"
211,16.0,16.0,1.0,8.0,0.461336,"(16.0, 8.0)"
212,256.0,16.0,0.0,8.0,2.558071,"(16.0, 8.0)"
213,256.0,16.0,1.0,8.0,3.027685,"(16.0, 8.0)"
214,2048.0,16.0,0.0,8.0,34.316128,"(16.0, 8.0)"
215,2048.0,16.0,1.0,8.0,20.49908,"(16.0, 8.0)"
216,16.0,4.0,0.0,1.0,0.027448,"(4.0, 1.0)"
217,16.0,4.0,1.0,1.0,0.006933,"(4.0, 1.0)"
218,256.0,4.0,0.0,1.0,0.053114,"(4.0, 1.0)"
219,256.0,4.0,1.0,1.0,0.052131,"(4.0, 1.0)"
220,2048.0,4.0,0.0,1.0,0.234115,"(4.0, 1.0)"
221,2048.0,4.0,1.0,1.0,0.161765,"(4.0, 1.0)"
222,16.0,4.0,0.0,8.0,0.202208,"(4.0, 8.0)"
223,16.0,4.0,1.0,8.0,0.193843,"(4.0, 8.0)"
224,256.0,4.0,0.0,8.0,0.608475,"(4.0, 8.0)"
225,256.0,4.0,1.0,8.0,0.706589,"(4.0, 8.0)"
226,2048.0,4.0,0.0,8.0,3.254264,"(4.0, 8.0)"
227,2048.0,4.0,1.0,8.0,4.069886,"(4.0, 8.0)"
228,16.0,16.0,0.0,1.0,0.041974,"(16.0, 1.0)"
229,16.0,16.0,1.0,1.0,0.053318,"(16.0, 1.0)"
230,256.0,16.0,0.0,1.0,0.092928,"(16.0, 1.0)"
231,256.0,16.0,1.0,1.0,0.112964,"(16.0, 1.0)"
232,2048.0,16.0,0.0,1.0,0.46414,"(16.0, 1.0)"
233,2048.0,16.0,1.0,1.0,0.640697,"(16.0, 1.0)"
234,16.0,16.0,0.0,8.0,0.137707,"(16.0, 8.0)"
235,16.0,16.0,1.0,8.0,0.160684,"(16.0, 8.0)"
236,256.0,16.0,0.0,8.0,0.994378,"(16.0, 8.0)"
237,256.0,16.0,1.0,8.0,0.764769,"(16.0, 8.0)"
238,2048.0,16.0,0.0,8.0,4.966238,"(16.0, 8.0)"
239,2048.0,16.0,1.0,8.0,4.575217,"(16.0, 8.0)"
